category,prefecture,store_name,address,phone
自転車販売店,島根県,出雲市市役所　本庁,島根県出雲市今市町７０,0853-21-6990
自転車販売店,島根県,成相自転車店,島根県出雲市大社町杵築南１１５５,0853-53-2413
自転車販売店,島根県,（株）Ｓ・Ａ・Ｉサイクル倉庫　出雲店,島根県出雲市天神町２０２－２,0853-31-4850
自転車販売店,島根県,（有）佐藤モータース,島根県大田市大田町大田イ３９１－３,0854-82-0519
自転車販売店,島根県,（有）田中ホンダ販売じてんしゃ屋　サイクル部,島根県大田市大田町大田ハ９６,0854-82-7273
自転車販売店,島根県,（株）あさひサイクルベースあさひ松江学園通り店,島根県松江市学園１－１９－１２,0852-59-5270
自転車販売店,島根県,オートショップコイズミ,島根県松江市学園２－２６－１７,0852-27-2013
自転車販売店,島根県,バイクショップナガセ,島根県松江市西川津町１１７７－１,0852-27-1776
自転車販売店,島根県,サイクルショップ石倉,島根県松江市西津田３ー４ー１９,0852-21-4386
自転車販売店,島根県,浜田市市民生活部　環境課,島根県浜田市殿町１,0855-25-9430
自転車販売店,島根県,（有）シラガミ,島根県益田市染羽町４－２６,0856-22-1087
自転車販売店,島根県,西ノ島町ごみ焼却場「清美苑」,島根県隠岐郡西ノ島町美田８５０－３,08514-6-1338
自転車販売店,島根県,雲南市・飯南町事務組合リサイクルプラザ,島根県雲南市木次町里方１３６９－３９,0854-42-3391
自転車販売店,島根県,雲南市・飯南町事務組合いいしクリーンセンター,島根県飯石郡飯南町都加賀６９８－１,0854-72-9217
